num_cores,coverage_amount_reached,duration_seconds,share_coverage_results,share_inputs_database
20, 12.570714285714288, 1, true, false
20, 12.602500000000006, 1, true, true
20, 9.159642857142867, 1, false, true
20, 8.123571428571427, 1, false, false
40, 9.147142857142859, 1, false, true
40, 15.229285714285705, 1, true, true
40, 7.624285714285713, 1, false, false
40, 15.186428571428577, 1, true, false
60, 7.367500000000002, 1, false, false
60, 17.477499999999996, 1, true, false
60, 9.087857142857144, 1, false, true
60, 17.483571428571416, 1, true, true
80, 19.122857142857132, 1, true, false
80, 19.142857142857164, 1, true, true
80, 7.400000000000001, 1, false, false
80, 9.102857142857141, 1, false, true
100, 9.08392857142857, 1, false, true
100, 7.341071428571425, 1, false, false
100, 21.18321428571429, 1, true, false
100, 20.490714285714276, 1, true, true
120, 22.378928571428585, 1, true, false
120, 7.233214285714283, 1, false, false
120, 9.031785714285709, 1, false, true
120, 21.938214285714267, 1, true, true
140, 23.113214285714307, 1, true, true
140, 8.954285714285712, 1, false, true
140, 7.422857142857141, 1, false, false
140, 23.814642857142864, 1, true, false
160, 25.105714285714264, 1, true, false
160, 24.00857142857144, 1, true, true
160, 8.849285714285706, 1, false, true
160, 7.268571428571435, 1, false, false
180, 9.010357142857154, 1, false, true
180, 25.14214285714283, 1, true, true
180, 7.138214285714293, 1, false, false
180, 26.378214285714286, 1, true, false
200, 8.956428571428575, 1, false, true
200, 27.134642857142865, 1, true, false
200, 25.821071428571436, 1, true, true
200, 7.202142857142856, 1, false, false
220, 26.52785714285712, 1, true, true
220, 28.42392857142856, 1, true, false
220, 7.207857142857144, 1, false, false
220, 8.942142857142857, 1, false, true
240, 8.953571428571443, 1, false, true
240, 27.01428571428572, 1, true, true
240, 29.074642857142848, 1, true, false
240, 7.142499999999996, 1, false, false
260, 7.180714285714296, 1, false, false
260, 8.922142857142848, 1, false, true
260, 27.603928571428607, 1, true, true
260, 30.036428571428544, 1, true, false
280, 28.24857142857144, 1, true, true
280, 7.216785714285713, 1, false, false
280, 8.915357142857138, 1, false, true
280, 30.543571428571425, 1, true, false
300, 28.745357142857127, 1, true, true
300, 8.84785714285715, 1, false, true
300, 31.372142857142872, 1, true, false
300, 7.02392857142857, 1, false, false
320, 29.063214285714295, 1, true, true
320, 32.1975, 1, true, false
320, 7.11535714285714, 1, false, false
320, 8.92607142857143, 1, false, true
340, 32.70821428571429, 1, true, false
340, 7.208571428571432, 1, false, false
340, 29.526785714285708, 1, true, true
340, 8.762857142857143, 1, false, true
360, 8.820357142857137, 1, false, true
360, 33.161428571428566, 1, true, false
360, 7.304642857142854, 1, false, false
360, 29.73714285714285, 1, true, true
380, 7.299999999999995, 1, false, false
380, 34.00214285714287, 1, true, false
380, 30.07285714285714, 1, true, true
380, 8.920000000000007, 1, false, true
400, 34.521071428571354, 1, true, false
400, 8.920714285714295, 1, false, true
400, 30.503928571428574, 1, true, true
400, 7.1692857142857145, 1, false, false
420, 30.647142857142857, 1, true, true
420, 8.982857142857146, 1, false, true
420, 35.14928571428571, 1, true, false
420, 7.141071428571429, 1, false, false
440, 31.289999999999992, 1, true, true
440, 35.826785714285705, 1, true, false
440, 8.892857142857135, 1, false, true
440, 7.104285714285717, 1, false, false
460, 7.157142857142858, 1, false, false
460, 31.46964285714285, 1, true, true
460, 36.246785714285714, 1, true, false
460, 8.885714285714283, 1, false, true
480, 36.631428571428565, 1, true, false
480, 7.143571428571422, 1, false, false
480, 8.797857142857149, 1, false, true
480, 31.526428571428575, 1, true, true
500, 37.25535714285712, 1, true, false
500, 8.850357142857145, 1, false, true
500, 31.904999999999994, 1, true, true
500, 7.20678571428572, 1, false, false
