num_cores,coverage_amount_reached,duration_seconds,share_coverage_results,share_inputs_database
20, 100, 83873.85, true, true
40, 100, 44728.75, true, true
60, 100, 101261.98333333334, true, true
80, 100, 22364.375, true, true
100, 100, 21167.99, true, true
120, 100, 21556.758333333335, true, true
140, 100, 15119.992857142857, true, true
160, 100, 15555.58125, true, true
180, 100, 13827.183333333332, true, true
200, 100, 10583.995, true, true
220, 100, 8132.5, true, true
240, 100, 14538.25, true, true
260, 100, 8141.534615384616, true, true
280, 100, 7559.996428571429, true, true
300, 100, 8296.31, true, true
320, 100, 7777.790625, true, true
340, 100, 5262.205882352941, true, true
360, 100, 11046.261111111111, true, true
380, 100, 6505.805263157895, true, true
400, 100, 15189.2975, true, true
420, 100, 3993.9928571428572, true, true
440, 100, 5879.115909090909, true, true
460, 100, 3889.4565217391305, true, true
480, 100, 5389.189583333334, true, true
500, 100, 3354.954, true, true
520, 100, 4974.636538461538, true, true
540, 100, 7364.174074074074, true, true
560, 100, 6230.678571428572, true, true
580, 100, 6015.827586206897, true, true
600, 100, 6142.578333333333, true, true
620, 100, 9799.546774193548, true, true
640, 100, 5451.84375, true, true
660, 100, 5584.162121212121, true, true
680, 100, 5131.14705882353, true, true
700, 100, 2396.3957142857143, true, true
720, 100, 3456.795833333333, true, true
740, 100, 3495.6905405405405, true, true
760, 100, 7994.367105263158, true, true
780, 100, 5098.274358974359, true, true
800, 100, 2096.84625, true, true
820, 100, 3014.8853658536586, true, true
840, 100, 1996.9964285714286, true, true
860, 100, 2874.6581395348835, true, true
880, 100, 4518.925, true, true
900, 100, 2874.2344444444443, true, true
920, 100, 2687.1804347826087, true, true
940, 100, 2251.913829787234, true, true
960, 100, 4142.347916666667, true, true
980, 100, 3560.387755102041, true, true
1000, 100, 1677.477, true, true
1020, 100, 2423.7313725490194, true, true
1040, 100, 1720.3365384615386, true, true
1060, 100, 2332.269811320755, true, true
1080, 100, 1656.6203703703704, true, true
1100, 100, 3171.981818181818, true, true
1120, 100, 1497.7473214285715, true, true
1140, 100, 1856.8412280701755, true, true
1160, 100, 3177.1956896551724, true, true
1180, 100, 3123.344915254237, true, true
1200, 100, 3071.2891666666665, true, true
1220, 100, 2120.3368852459016, true, true
1240, 100, 1352.8040322580646, true, true
1260, 100, 3156.074603174603, true, true
1280, 100, 3106.7609375, true, true
1300, 100, 4673.63, true, true
1320, 100, 2792.0810606060604, true, true
1340, 100, 4534.118656716418, true, true
1360, 100, 4467.440441176471, true, true
1380, 100, 1533.9123188405797, true, true
1400, 100, 1847.722142857143, true, true
1420, 100, 2595.455633802817, true, true
1440, 100, 4219.249305555555, true, true
1460, 100, 1148.9568493150684, true, true
1480, 100, 1670.4094594594594, true, true
1500, 100, 1724.5406666666668, true, true
1520, 100, 1637.4296052631578, true, true
1540, 100, 1679.7474025974027, true, true
1560, 100, 2549.1371794871793, true, true
1580, 100, 3845.3917721518987, true, true
1600, 100, 3797.324375, true, true
1620, 100, 2275.029012345679, true, true
1640, 100, 2127.548780487805, true, true
1660, 100, 1489.2807228915663, true, true
1680, 100, 1481.4839285714286, true, true
1700, 100, 1052.4411764705883, true, true
1720, 100, 2312.008139534884, true, true
1740, 100, 2285.4333333333334, true, true
1760, 100, 1414.14375, true, true
1780, 100, 1189.2129213483147, true, true
1800, 100, 2047.526111111111, true, true
1820, 100, 1163.0763736263737, true, true
1840, 100, 1352.6592391304348, true, true
1860, 100, 1875.9032258064517, true, true
1880, 100, 1855.9468085106382, true, true
1900, 100, 941.6578947368421, true, true
1920, 100, 1919.5557291666667, true, true
1940, 100, 1274.3329896907217, true, true
1960, 100, 912.8316326530612, true, true
1980, 100, 1248.588888888889, true, true
2000, 100, 1244.4465, true, true
